 ,English,Vietnamese,French
poi.Hanoi.Opera.House,Hanoi Opera House\n1910,Nhà hát Lớn Hà Nội\n1910,Opéra de Hanoï\n1910
poi.Sofitel.Legend.Metropole.Hanoi,Sofitel Legend Metropole Hanoi\n1901,Khách sạn Metropole Hà Nội\n1901,Sofitel Legend Métropole Hanoï\n1901
poi.Tran.Quoc.Pagoda,Trấn Quốc Pagoda\n6th century,Chùa Trấn Quốc\nThế kỷ 6,Pagode Trấn Quốc \nVIe siècle
poi.National.Library,Central library of Indochina\n(National Library of Vietnam)\n1917,Thư viện Trung ương Đông Dương\n(Thư viện Quốc gia Việt Nam)\n1917,Bibliothèque Centrale de l’Indochine\n(Bibliothèque nationale du Vietnam)\n1917
poi.Ngoc.Son.Temple,Ngọc Sơn Temple\n15th century ,Đền Ngọc Sơn\nThế kỷ 15,Temple Ngọc Sơ\nXVe siècle
poi.Turtle.Tower,Turtle Tower,Tháp Rùa,Tour de la Tortue
poi.Imperial.Citadel.of.Thang.Long,Imperial Citadel of Thang Long\n1010,Hoàng thành Thăng Long\n1010,Cité impériale de Thang Long\n1010 
poi.Quan.Thanh.Temple,Quan Thanh Temple\n11th century,Đền Quán Thánh\nThế kỷ 11,Pagode du grand bouddha\n(Temple Quán Thánh) \nXIe sicèle
poi.Hoa.Lo.Prison,Hoa Lo Prison,Nhà tù Hỏa Lò\n1896,Prison Hỏa Lò\n1896
poi.Saint.Josephs.Cathedral,Saint Joseph's Cathedral\n1886,Nhà thờ lớn Hà Nội\n1886,Cathédrale Saint-Joseph de Hanoï\n1886
poi.Long.Bien.Bridge,Doumer Bridge\n(Long Bien Bridge)\n1903,Tên cũ là cầu Paul Doumer\n(Cầu Long Biên)\n1903,Pont Paul-Doumer \n(Pont Long Biên)\n1903
poi.Palace.of.the.Resident.Superior.of.Tonkin,Palace of the Resident Superior of Tonkin\n(Tonkin Palace)\n1919,Phủ Thống sứ Bắc Kỳ\n(Bắc Bộ Phủ)\n1919,Palais du Résident Supérieur du Tonkin \n(Palais du Tonkin)\n1919
poi.Indochinese.University,Vietnam National University\n(Hanoi Indochinese University)\n1906 ,Đại học Quốc gia Hà Nội\n(Đại học Đông Dương)\n1906,Université nationale du Vietnam de Hanoï\n(Université indochinoise)\n1906
poi.Kim.Ngân.Temple ,Kim Ngân Temple\n16th century,Đình Kim Ngân\nThế kỷ 16,Temple Kim Ngân\nXVIe siècle
poi.Bach.Ma.Temple ,Bạch Mã Temple,Đền Bạch Mã\nThế kỷ 9,Temple Bạch Mã\nIXe siècle\n
poi.Lycée.Albert.Sarraut,Lycée Albert Sarraut\n(Trần Phú - Hoàn Kiếm High School)\n1919,Trường Albert Sarraut\n(Trường Trung học phổ thông Trần Phú)\n1919,Lycée Albert Sarraut\n(Lycée Trần Phú)\n1919
poi.Hang.Co.Railway.Station,Hang Co Railway Station\n(Hanoi central station) \n1902,Ga Hàng Cỏ\n(Ga Hà Nội)\n1902,Gare Hàng Co\n(Gare de Hanoï)\n1902
poi.HanoiCourtHouse,Hanoi Courthouse\n(Supreme People's Court of Vietnam)\n1906,Palais de Justice de Hanoï\n(Cour populaire suprême du Vietnam)\n1906,Tòa Án Hà Nội\n(Tòa án nhân dân tối cao Việt Nam)\n1906
