name,cx,cy,cz,width,depth,angle
Building.1025,2864.439,1313.928,20.918,41.353,45.412,15.00
Building.1026,2868.876,1331.986,20.918,20.214,23.959,-150.00
Building.1027,2877.750,1319.142,20.918,20.108,14.817,-150.00
Building.1028,2931.534,1249.135,20.918,14.139,21.423,-165.00
Building.1029,2920.992,1250.006,20.918,16.168,22.605,165.00
Building.103,1848.606,2670.923,20.918,19.579,24.342,165.00
Building.1030,2931.733,1247.919,20.918,8.799,21.533,15.00
Building.1031,2900.268,1271.906,20.918,27.517,59.055,-180.00
Building.1032,2905.959,1282.240,20.918,9.900,39.080,-180.00
Building.1033,2841.285,1313.762,20.918,20.373,34.068,-165.00
Building.1034,2850.346,1319.752,20.918,19.050,29.675,-165.00
Building.1035,2842.395,1268.751,20.918,18.137,32.803,-180.00
Building.1036,2853.438,1267.421,20.918,14.815,33.833,-165.00
Building.1037,2877.714,1269.314,20.918,21.494,49.576,0.00
Building.1038,2877.047,1275.319,20.918,10.595,19.577,-180.00
Building.1039,2007.969,1443.747,20.918,26.395,11.482,90.00
Building.104,1884.225,2659.750,20.918,28.090,38.603,-30.00
Building.1040,2003.697,1435.870,20.918,25.498,16.579,0.00
Building.1041,2008.792,1419.827,20.918,20.185,10.250,90.00
Building.1042,1940.185,1452.885,20.918,23.668,23.593,30.00
Building.1043,1993.113,1467.620,20.918,23.692,36.519,-180.00
Building.1044,1964.756,1482.296,20.918,27.463,16.553,-90.00
Building.1045,1939.878,1479.452,20.918,23.241,14.862,-90.00
Building.1046,1965.113,1457.328,20.918,10.789,21.762,15.00
Building.1047,1972.398,1458.365,20.918,8.786,21.454,15.00
Building.1048,1955.326,1455.833,20.918,14.883,22.424,15.00
Building.1049,2005.775,1389.019,20.918,20.073,10.319,-90.00
Building.105,1865.480,2665.347,20.918,25.513,31.740,165.00
Building.1050,1983.768,1408.568,20.918,16.537,7.938,-75.00
Building.1051,1964.140,1432.723,20.918,25.400,26.175,30.00
Building.1052,2992.024,1193.905,20.918,64.708,53.404,30.00
Building.1053,3067.326,1086.377,20.918,26.522,26.490,-150.00
Building.1054,3025.469,1144.581,20.918,60.453,43.747,60.00
Building.1055,3028.775,1163.893,20.918,31.382,21.278,120.00
Building.1056,3013.110,1177.580,20.918,46.843,36.072,-75.00
Building.1057,3042.554,1116.201,20.918,49.199,30.534,105.00
Building.1058,3050.101,1100.658,20.918,47.019,31.511,120.00
Building.1059,3051.226,1101.143,20.918,42.725,22.824,-60.00
Building.106,1883.578,2658.479,20.918,31.468,35.620,150.00
Building.1060,3068.257,1084.826,20.918,21.546,27.136,30.00
Building.1061,3038.831,1076.544,20.918,21.789,24.420,30.00
Building.1062,3062.569,1050.155,20.918,16.934,12.171,105.00
Building.1063,3072.365,1011.810,20.918,27.517,28.046,45.00
Building.1064,3118.365,964.056,20.918,14.288,15.875,-150.00
Building.1065,3094.880,972.397,20.918,9.525,11.113,15.00
Building.1066,3117.521,912.940,20.918,83.609,106.363,15.00
Building.1067,3122.162,851.389,20.918,14.288,7.937,105.00
Building.1068,3201.854,710.838,20.918,84.567,65.088,-165.00
Building.1069,3145.201,841.024,20.918,69.850,25.400,-75.00
Building.107,1896.391,2653.054,20.918,24.027,39.738,-30.00
Building.1070,3120.392,796.627,20.918,30.692,60.375,15.00
Building.1071,3192.073,805.193,20.918,43.228,79.343,30.00
Building.1072,3206.085,774.768,20.918,15.959,17.460,-150.00
Building.1073,3195.858,771.942,20.918,14.030,18.984,-165.00
Building.1074,3185.851,769.630,20.918,12.155,20.160,-165.00
Building.1075,3177.027,767.475,20.918,12.027,21.733,-165.00
Building.1076,3157.601,764.208,20.918,12.381,22.928,15.00
Building.1077,3146.439,761.360,20.918,17.732,23.811,30.00
Building.1078,3145.946,762.527,20.918,21.436,25.844,-150.00
Building.1079,3179.881,750.289,20.918,86.290,31.732,105.00
Building.108,1985.610,2607.788,20.918,51.883,68.144,-90.00
Building.1080,3166.288,729.001,20.918,50.984,30.440,105.00
Building.1081,3215.025,755.181,20.918,22.754,20.610,-75.00
Building.1082,3193.398,723.743,20.918,48.344,52.917,45.00
Building.1083,3165.146,721.913,20.918,12.716,15.522,-150.00
Building.1084,3236.313,710.102,20.918,10.258,17.785,-180.00
Building.1085,3208.084,721.262,20.918,21.696,20.637,-75.00
Building.1086,3163.806,712.101,20.918,39.075,38.813,-90.00
Building.1087,3180.003,700.521,20.918,10.941,8.996,-75.00
Building.1088,3162.762,687.563,20.918,16.404,11.967,120.00
Building.1089,3244.701,713.480,20.918,11.301,17.992,-150.00
Building.109,2028.570,2594.608,20.918,26.035,45.909,-135.00
Building.1090,3249.604,656.388,20.918,16.933,28.575,15.00
Building.1091,3232.218,646.016,20.918,13.229,19.050,15.00
Building.1092,3219.667,641.545,20.918,22.225,30.163,-150.00
Building.1093,3255.311,570.152,20.918,38.101,84.138,15.00
Building.1094,3220.422,594.901,20.918,11.113,12.700,15.00
Building.1095,3212.787,574.131,20.918,12.171,10.054,105.00
Building.1096,3255.385,478.757,20.918,52.917,38.100,105.00
Building.1097,3366.840,442.875,20.918,25.400,37.042,0.00
Building.1098,3274.598,461.736,20.918,19.050,10.054,-75.00
Building.1099,3271.171,417.020,20.918,49.213,26.988,-75.00
Building.110,2028.099,2578.510,20.918,11.642,15.934,-45.00
Building.1100,3301.195,353.225,20.918,29.634,14.817,105.00
Building.1101,3253.956,374.976,20.918,18.521,35.983,15.00
Building.1102,3398.968,341.740,20.918,33.338,61.384,15.00
Building.1103,3381.884,243.969,20.918,16.404,24.342,15.00
Building.1104,3396.630,270.064,20.918,10.584,8.996,-75.00
Building.1105,3447.827,287.374,20.918,7.409,7.938,-165.00
Building.1106,3439.108,273.333,20.918,10.054,8.467,-45.00
Building.1107,3320.202,307.634,20.918,31.750,22.490,120.00
Building.1108,3273.589,307.870,20.918,27.781,22.490,-75.00
Building.1109,3327.509,292.281,20.918,11.906,8.599,-75.00
Building.111,1935.187,2659.670,20.918,30.831,29.104,-105.00
Building.1110,3321.195,268.608,20.918,19.183,9.922,-75.00
Building.1111,3320.132,236.171,20.918,37.041,22.490,105.00
Building.1112,3429.638,216.280,20.918,25.135,28.749,-165.00
Building.1113,3426.856,228.954,20.918,1.323,1.016,15.00
Building.1114,3458.399,243.158,20.918,18.521,11.906,-75.00
Building.1115,3480.416,229.337,20.918,13.891,7.276,-90.00
Building.1116,3493.926,208.336,20.918,13.229,14.552,-165.00
Building.1117,3426.265,147.035,20.918,33.734,66.807,15.00
Building.1118,3482.464,140.924,20.918,22.490,10.583,-90.00
Building.1119,3462.703,76.892,20.918,74.083,35.719,105.00
Building.112,1948.592,2621.297,20.918,17.463,34.396,165.00
Building.1120,3491.689,48.825,20.918,72.099,30.427,105.00
Building.1121,3510.712,102.985,20.918,10.583,11.906,-60.00
Building.1122,3342.733,218.968,20.918,24.474,11.906,-75.00
Building.1123,3340.032,185.726,20.918,46.963,25.797,105.00
Building.1124,3335.689,174.867,20.918,64.162,27.120,-75.00
Building.1125,3356.600,134.849,20.918,42.995,23.812,105.00
Building.1126,3359.354,113.754,20.918,51.594,27.781,-75.00
Building.1127,3374.698,58.331,20.918,42.334,25.797,-75.00
Building.1128,3391.942,18.896,20.918,43.656,23.812,105.00
Building.1129,3270.795,275.418,20.918,9.260,13.891,-165.00
Building.113,1943.673,2648.981,20.918,56.082,29.104,-15.00
Building.1130,3276.294,226.743,20.918,11.906,16.536,15.00
Building.1131,3337.500,41.351,20.918,23.813,27.120,-75.00
Building.1132,3322.317,133.477,20.918,9.922,7.938,-165.00
Building.1133,3317.325,92.693,20.918,7.276,7.938,-165.00
Building.1134,3513.391,84.268,20.918,9.922,8.599,-75.00
Building.1135,3441.463,36.512,20.918,10.583,7.276,-75.00
Building.1136,3464.063,187.478,20.918,32.411,13.891,-75.00
Building.1137,3281.552,251.142,20.918,9.260,12.568,15.00
Building.1138,3413.098,20.338,20.918,8.467,7.409,-60.00
Building.1139,2062.258,1228.729,20.918,25.399,34.462,-150.00
Building.114,1969.206,2620.488,20.918,32.658,49.702,165.00
Building.1140,2152.605,1217.891,20.918,35.788,50.141,-150.00
Building.1141,2071.005,1180.454,20.918,46.240,62.668,30.00
Building.1142,2092.112,1189.086,20.918,35.055,54.807,30.00
Building.1143,2102.585,1193.875,20.918,36.679,55.398,30.00
Building.1144,2129.417,1207.829,20.918,36.410,58.363,-150.00
Building.1145,2128.363,1209.814,20.918,26.865,52.973,30.00
Building.1146,2132.937,1239.730,20.918,25.135,41.341,-30.00
Building.1147,2615.698,1355.520,20.918,14.787,28.372,0.00
Building.1148,2579.187,1401.663,20.918,35.642,25.533,75.00
Building.1149,2555.031,1415.047,20.918,19.130,17.463,135.00
Building.115,1750.131,2596.054,20.918,44.575,28.287,-30.00
Building.1150,2554.337,1414.428,20.918,21.121,18.386,-45.00
Building.1151,2600.828,1383.071,20.918,18.546,80.149,-180.00
Building.1152,2585.023,1371.918,20.918,12.620,57.832,0.00
Building.1153,2561.754,1394.799,20.918,16.405,23.283,-180.00
Building.1154,2577.223,1389.786,20.918,17.081,16.238,105.00
Building.1155,2568.804,1394.568,20.918,8.984,20.448,-165.00
Building.1156,2552.678,1364.762,20.918,7.315,37.233,180.00
Building.1157,2585.264,1368.539,20.918,16.302,48.428,-180.00
Building.1158,2789.391,1258.766,20.918,15.660,19.462,-180.00
Building.1159,2783.484,1298.792,20.918,37.253,38.615,120.00
Building.116,1732.049,2556.201,20.918,31.291,26.085,75.00
Building.1160,2764.873,1301.745,20.918,16.231,16.657,-180.00
Building.1161,2758.141,1293.498,20.918,16.933,12.112,-90.00
Building.1162,2756.427,1309.089,20.918,15.166,13.169,90.00
Building.1163,2774.256,1283.688,20.918,51.385,21.984,-75.00
Building.1164,2764.428,1247.137,20.918,23.729,20.906,90.00
Building.1165,2789.357,1259.240,20.918,12.371,18.388,0.00
Building.1166,2708.828,1264.837,20.918,61.384,53.446,30.00
Building.1167,2727.279,1299.552,20.918,23.971,14.966,-90.00
Building.1168,2727.833,1319.365,20.918,22.597,9.842,-90.00
Building.1169,2728.108,1299.632,20.918,23.397,12.781,90.00
Building.117,1741.627,2585.271,20.918,29.922,21.442,-105.00
Building.1170,2716.140,1306.584,20.918,13.852,28.287,180.00
Building.1171,2692.403,1307.762,20.918,14.288,29.634,-180.00
Building.1172,2692.447,1306.877,20.918,11.038,28.969,0.00
Building.1173,2725.308,1277.508,20.918,18.353,16.628,15.00
Building.1174,2710.683,1296.152,20.918,19.579,12.700,-60.00
Building.1175,2636.538,1315.233,20.918,58.208,34.613,-90.00
Building.1176,2653.321,1312.774,20.918,19.971,14.635,75.00
Building.1177,2634.572,1315.392,20.918,20.108,10.746,90.00
Building.1178,2566.518,1314.334,20.918,14.256,26.455,0.00
Building.1179,2607.987,1310.737,20.918,16.468,30.393,180.00
Building.118,1760.008,2578.889,20.918,15.170,17.090,-105.00
Building.1180,2557.048,1316.646,20.918,16.534,23.062,180.00
Building.1181,2566.542,1315.555,20.918,9.972,24.222,180.00
Building.1182,2593.245,1312.545,20.918,13.576,28.243,180.00
Building.1183,2406.941,1374.262,20.918,31.025,54.911,-150.00
Building.1184,2366.185,1518.362,20.918,57.010,17.517,105.00
Building.1185,2375.103,1509.540,20.918,64.920,29.130,105.00
Building.1186,2383.693,1489.166,20.918,71.163,42.267,105.00
Building.1187,2401.743,1470.725,20.918,57.367,37.926,105.00
Building.1188,2366.827,1459.942,20.918,22.156,17.732,105.00
Building.1189,2360.754,1480.932,20.918,20.733,13.323,-75.00
Building.119,1759.205,2556.111,20.918,16.593,21.545,165.00
Building.1190,2379.784,1449.391,20.918,25.880,31.669,-165.00
Building.1191,2388.301,1414.170,20.918,43.921,42.333,45.00
Building.1192,2409.405,1451.092,20.918,59.047,37.675,120.00
Building.1193,2413.234,1452.823,20.918,51.135,34.227,-60.00
Building.1194,2426.703,1441.279,20.918,45.509,22.412,-60.00
Building.1195,2432.723,1404.543,20.918,55.241,30.692,105.00
Building.1196,2429.776,1403.412,20.918,58.738,31.680,-75.00
Building.1197,2437.988,1389.254,20.918,54.317,29.633,-75.00
Building.1198,2442.276,1366.545,20.918,54.308,25.796,-75.00
Building.1199,2376.429,1357.802,20.918,29.897,46.995,30.00
Building.120,1741.434,2611.212,20.918,34.592,21.617,-105.00
Building.1200,2383.663,1396.489,20.918,28.848,24.839,135.00
Building.1201,2373.740,1423.230,20.918,25.458,23.936,-135.00
Building.1202,2383.300,1364.913,20.918,29.342,54.943,30.00
Building.1203,2391.160,1368.502,20.918,28.434,56.245,15.00
Building.1204,2406.532,1375.267,20.918,26.988,50.271,15.00
Building.1205,2362.584,1410.777,20.918,19.623,30.731,-150.00
Building.1206,2371.296,1391.490,20.918,15.235,17.118,-150.00
Building.1207,1948.557,1766.387,20.918,23.186,29.724,-15.00
Building.1208,1945.834,1790.665,20.918,22.754,25.837,0.00
Building.1209,1956.970,1799.869,20.918,21.740,14.288,75.00
Building.121,2290.679,2287.240,20.918,40.582,28.531,-135.00
Building.1210,1976.415,1792.166,20.918,13.574,36.206,180.00
Building.1211,1940.219,1767.036,20.918,16.752,29.633,-15.00
Building.1212,1966.628,1760.744,20.918,10.853,30.745,0.00
Building.1213,1956.676,1750.328,20.918,23.591,8.467,-90.00
Building.1214,2582.241,1167.020,20.918,30.163,31.221,-75.00
Building.1215,2450.463,1298.569,20.918,19.371,78.364,0.00
Building.1216,2460.412,1311.825,20.918,15.875,50.325,0.00
Building.1217,2460.450,1312.654,20.918,11.204,48.793,180.00
Building.1218,2434.042,1307.350,20.918,10.209,59.387,15.00
Building.1219,2428.595,1325.110,20.918,10.258,26.667,15.00
Building.122,1876.203,2447.706,20.918,30.427,19.656,90.00
Building.1220,1997.529,1722.240,20.918,23.813,17.723,-135.00
Building.1221,2005.722,1758.074,20.918,42.333,11.113,-105.00
Building.1222,2005.899,1742.559,20.918,15.333,20.867,-15.00
Building.1223,2017.305,1723.468,20.918,10.418,16.119,0.00
Building.1224,2018.763,1740.757,20.918,8.373,20.224,0.00
Building.1225,2002.504,1722.347,20.918,16.789,17.992,15.00
Building.1226,1997.699,1722.026,20.918,10.307,16.555,45.00
Building.1227,1949.041,1620.037,20.918,86.825,50.138,-15.00
Building.1228,2001.209,1680.006,20.918,42.863,20.651,90.00
Building.1229,2002.175,1667.386,20.918,40.048,17.617,75.00
Building.123,1897.812,2465.763,20.918,11.906,6.949,-90.00
Building.1230,1985.666,1674.173,20.918,75.695,43.912,-150.00
Building.1231,1956.014,1670.030,20.918,32.296,37.042,-135.00
Building.1232,1962.122,1676.555,20.918,42.332,47.969,-135.00
Building.1233,1956.786,1702.972,20.918,26.064,8.681,-90.00
Building.1234,1987.310,1639.102,20.918,63.696,18.465,45.00
Building.1235,1997.281,1622.577,20.918,15.875,21.307,15.00
Building.1236,2009.141,1619.719,20.918,21.591,33.304,-60.00
Building.1237,1944.802,1633.493,20.918,32.269,41.919,-105.00
Building.1238,1931.481,1691.092,20.918,11.865,21.018,-45.00
Building.1239,1933.888,1668.592,20.918,8.690,14.817,-45.00
Building.124,1911.128,2442.777,20.918,12.459,8.724,-105.00
Building.1240,1928.895,1682.399,20.918,20.340,44.301,-15.00
Building.1241,1927.737,1652.524,20.918,21.530,16.150,60.00
Building.1242,2006.302,1610.653,20.918,33.210,39.998,-120.00
Building.1243,1915.974,1646.013,20.918,13.297,24.537,-15.00
Building.1244,1936.039,1638.991,20.918,8.183,22.714,165.00
Building.1245,1974.813,1631.990,20.918,9.260,11.575,165.00
Building.1246,1986.296,1629.194,20.918,6.945,10.583,-180.00
Building.1247,1987.705,1611.519,20.918,8.599,11.575,-180.00
Building.1248,1969.551,1615.729,20.918,7.938,9.591,-15.00
Building.1249,2054.156,1519.753,20.918,9.774,36.224,165.00
Building.125,1900.536,2441.603,20.918,4.476,7.626,-15.00
Building.1250,2058.573,1551.227,20.918,14.770,29.996,165.00
Building.1251,2037.828,1553.764,20.918,10.295,30.217,0.00
Building.1252,2041.025,1520.406,20.918,6.269,38.218,-180.00
Building.1253,2041.031,1520.174,20.918,7.087,37.408,0.00
Building.1254,2106.921,1523.345,20.918,46.667,33.092,-180.00
Building.1255,2119.703,1553.219,20.918,23.205,18.799,-120.00
Building.1256,2090.307,1547.875,20.918,16.511,22.487,15.00
Building.1257,2089.938,1550.170,20.918,12.588,24.711,-165.00
Building.1258,2122.571,1515.274,20.918,17.128,15.980,165.00
Building.1259,2127.857,1548.326,20.918,0.078,0.529,60.00
Building.126,1897.594,2465.786,20.918,12.063,5.689,90.00
Building.1260,2070.271,1545.517,20.918,15.123,36.513,-15.00
Building.1261,2071.733,1514.465,20.918,18.080,21.069,15.00
Building.1262,2071.093,1516.257,20.918,10.398,21.824,-165.00
Building.1263,2303.278,1473.408,20.918,69.731,107.887,-75.00
Building.1264,2340.115,1476.230,20.918,35.604,94.232,-165.00
Building.1265,2181.386,1465.291,20.918,27.577,74.613,-165.00
Building.1266,2127.225,1487.925,20.918,16.531,22.454,0.00
Building.1267,2162.514,1486.964,20.918,11.904,27.112,-180.00
Building.1268,2141.361,1487.398,20.918,11.971,24.734,0.00
Building.1269,2143.151,1461.841,20.918,39.516,18.943,75.00
Building.127,1955.811,2444.390,20.918,63.831,24.804,-105.00
Building.1270,2141.912,1445.376,20.918,42.197,25.906,75.00
Building.1271,2144.491,1444.649,20.918,43.825,23.412,-105.00
Building.1272,2147.709,1430.588,20.918,54.748,22.093,-105.00
Building.1273,2142.464,1420.208,20.918,46.326,26.023,-105.00
Building.1274,2128.508,1389.211,20.918,24.728,29.489,-105.00
Building.1275,2222.263,1226.954,20.918,43.466,36.165,120.00
Building.1276,2239.658,1236.126,20.918,0.295,0.661,30.00
Building.1277,2154.151,1335.190,20.918,21.368,24.474,30.00
Building.1278,2175.816,1330.266,20.918,18.231,16.048,105.00
Building.1279,2179.346,1311.416,20.918,32.630,29.091,120.00
Building.128,2026.125,2442.250,20.918,8.930,9.591,165.00
Building.1280,1784.850,2384.143,20.918,20.869,11.571,-135.00
Building.1281,1369.927,2422.622,20.918,15.875,40.942,-15.00
Building.1282,1380.037,2442.351,20.918,0.661,1.391,90.00
Building.1283,1339.605,2474.218,20.918,9.261,14.552,0.00
Building.1284,1319.251,2471.243,20.918,17.860,20.139,45.00
Building.1285,1322.811,2485.521,20.918,0.661,0.366,135.00
Building.1286,1215.614,2540.682,20.918,16.536,12.568,-105.00
Building.1287,1346.821,2463.182,20.918,19.050,15.743,-60.00
Building.1288,1347.607,2423.982,20.918,31.353,19.844,90.00
Building.1289,1317.445,2449.731,20.918,25.797,27.781,-60.00
Building.129,2026.693,2429.939,20.918,6.945,8.930,0.00
Building.1290,1279.199,2328.287,20.918,15.875,20.108,-165.00
Building.1291,1251.934,2521.438,20.918,5.821,17.462,15.00
Building.1292,1261.033,2537.159,20.918,8.467,14.288,0.00
Building.1293,1536.687,2434.871,20.918,10.054,7.937,90.00
Building.1294,1514.219,2431.284,20.918,14.817,14.288,120.00
Building.1295,1374.840,2390.552,20.918,19.579,32.809,-45.00
Building.1296,1405.995,2419.021,20.918,12.171,29.104,-15.00
Building.1297,1816.859,2241.850,20.918,19.579,12.700,-90.00
Building.1298,1792.055,2252.535,20.918,16.933,7.408,-105.00
Building.1299,1796.527,2276.130,20.918,0.575,1.059,60.00
Building.130,2025.257,2506.860,20.918,15.239,15.544,75.00
Building.1300,1792.469,2279.082,20.918,11.067,14.817,-120.00
Building.1301,1764.964,2286.939,20.918,27.517,29.104,-45.00
Building.1302,1748.124,2256.365,20.918,19.050,14.287,-120.00
Building.1303,1788.594,2229.276,20.918,12.171,12.700,0.00
Building.1304,1814.959,2256.231,20.918,31.750,27.517,120.00
Building.1305,1850.965,2226.940,20.918,13.229,26.458,165.00
Building.1306,1836.093,2221.249,20.918,10.583,12.700,-120.00
